Gene,label
ENSG00000085999,6
ENSG00000086062,12
ENSG00000086102,1
ENSG00000086200,22;1
ENSG00000086589,1
ENSG00000086758,7;6
ENSG00000087087,6
ENSG00000087206,10
ENSG00000087253,11;23
ENSG00000087269,8;1
ENSG00000087274,6;5
ENSG00000087299,0
ENSG00000087365,4
ENSG00000087470,7
ENSG00000087495,6
ENSG00000088205,8
ENSG00000088247,6
ENSG00000088325,24;14;25;6
ENSG00000088538,7
ENSG00000088833,7;6;5
ENSG00000088888,0
ENSG00000088930,8;1
ENSG00000089063,11
ENSG00000089154,7
ENSG00000089159,16
ENSG00000089199,9
ENSG00000089280,6
ENSG00000089639,7;6
ENSG00000089685,24
ENSG00000089775,6
ENSG00000089902,6
ENSG00000090060,6
ENSG00000090273,7
ENSG00000090316,6
ENSG00000090621,7
ENSG00000090861,7
ENSG00000090889,24;6
ENSG00000091164,7
ENSG00000091483,0
ENSG00000091490,1
ENSG00000091527,7;8;5
ENSG00000092067,6
ENSG00000092199,6
ENSG00000092330,10
ENSG00000092621,7;6;5
ENSG00000092820,5
ENSG00000092853,6
ENSG00000093000,15;6
ENSG00000094916,1
ENSG00000095139,12;9
ENSG00000096060,6
ENSG00000096696,20
ENSG00000096717,7;0;1
ENSG00000097007,6
ENSG00000097033,7
ENSG00000099194,11
ENSG00000099284,6
ENSG00000099783,6
ENSG00000099812,16;5
ENSG00000099864,5
ENSG00000099889,20
ENSG00000099942,6
ENSG00000099992,5
ENSG00000099995,4
ENSG00000100023,6
ENSG00000100029,8;1
ENSG00000100084,6
ENSG00000100142,22;1
ENSG00000100162,7
ENSG00000100196,11
ENSG00000100201,4
ENSG00000100216,0
ENSG00000100227,4
ENSG00000100243,11
ENSG00000100297,6
ENSG00000100324,7;4
ENSG00000100347,0
ENSG00000100348,0
ENSG00000100380,7
ENSG00000100393,6
ENSG00000100401,7;15;9
ENSG00000100410,6
ENSG00000100490,6;9
ENSG00000100503,18
ENSG00000100526,7
ENSG00000100568,9
ENSG00000100575,0
ENSG00000100603,6
ENSG00000100650,8;1
